original_text	translation_ko
Subtract 2 from the die roll total for<br>the current Crisis.	현재 위기의 주사위 굴림 총합에서 2를 뺍니다.
TARGET NUMBER	목표 수치
THE CHINA CARD	중국 카드
THIS ROLL	이번 굴림
TOTAL OPERATIONS	총 작전
TOTAL POINTS	총점
TRIGGER EVENT	이벤트 발동
TURN	턴
TURN ##	턴 ##
TURN ZERO EXPANSION	턴 제로 확장
Taiwan	대만
Taiwan shall be treated as a Battle- ground country for scoring purposes, if the US controls Taiwan when the Asia Scoring Card is played or during Final Scoring at the end of Turn 10. Taiwan is not a Battleground country for any other game purpose. This card is discarded after US play of <i>The China Card</i>.	아시아 점수 카드가 플레이될 때 또는 10턴 종료 시 최종 점수 계산에서 미국이 대만을 지배하고 있다면, 점수 계산 목적상 대만은 격전지로 취급된다. 다른 모든 목적에서는 대만은 격전지가 아니다. 이 카드는 미국이 <i>중국 카드</i>를 플레이한 뒤 버린다.
Target Summary	대상 요약
Terms of Use Agreement	이용 약관 동의
Thank you for playing!	플레이해 주셔서 감사합니다!
The <color=white>Late War</color> period begins in 1975, around, the <color=fffff>Fall of Saigon</color>. It is that date in time that has been selected to set the influence and events for the opening of the <color=white>Late War Scenario</color>. The Late War scenario allows the player to begin a game in that era, playing with the cards that are based off of the events of that time.<br><bR>The US appears to begin the post-Vietnam era in a decidedly strong position in game turns. Whether or not the dominoes have fallen, the US still dominates Asia, for example. Play of the scenario has shown that a US Automatic Victory is well within reach, so the Soviet player in this scenario wins just for engineering a more graceful decline of the Socialist experiment.	<color=white>후기 전쟁</color> 시기는 1975년, 대략 <color=fffff>사이공 함락</color> 무렵부터 시작된다. 이 시점을 기준으로 <color=white>후기 전쟁 시나리오</color>의 시작 영향력과 이벤트가 설정되어 있다. 후기 전쟁 시나리오를 사용하면 플레이어는 그 시대의 사건을 반영한 카드들로 바로 게임을 시작할 수 있다.<br><bR>베트남 전쟁 이후 미국은 게임상 상당히 강한 위치에서 출발하는 것으로 보인다. 도미노가 실제로 무너졌는지와 관계없이, 예를 들어 미국은 여전히 아시아를 지배하고 있다. 이 시나리오를 플레이해 보면 미국의 자동 승리가 충분히 가능한 수준이므로, 이 시나리오에서 소련 플레이어는 사회주의 실험의 몰락을 조금이라도 더 품위 있게 만드는 것만으로도 승리한 셈이다.
The <color=white>Space Race</color> track contains a marker for each Superpower. <color=white>Operations</color> points may be spent by a player to attempt to move their marker to the next box on the track. A player may discard one card per turn in an attempt to advance the <color=white>Space Race</color>, unless a special exception allows additional attempts. The discarded card's <color=white>Operations</color> value must be equal to or greater than the number shown on the track into which you are attempting to advance. The game will roll the die, and if the number is within the range listed in the target box on the <color=white>Space Race</color> track, will move your marker to the new box.<br><br>Advancing the <color=white>Space Race</color> track will result in an award of <color=white>Victory Points</color>, a special ability, or both. The first player to reach a given <color=white>Space Race</color> box receives the left number of <color=white>Victory Points</color>, and the second player receives the right number of <color=white>Victory Points</color>. Special abilities are granted to the first player to reach certain Space Race boxes. The special effect is immediately cancelled when the second player reaches that box.	<color=white>우주 경쟁</color> 트랙에는 각 초강대국의 마커가 하나씩 있다. 플레이어는 <color=white>작전치</color>을 사용해 자신의 마커를 다음 칸으로 전진시키려 시도할 수 있다. 특별한 예외가 없는 한 플레이어는 턴마다 카드 1장을 버려 <color=white>우주 경쟁</color> 전진을 시도할 수 있다. 버리는 카드의 <color=white>작전치</color>은 전진하려는 칸에 표시된 수치 이상이어야 한다. 게임은 주사위를 굴리고, 결과가 목표 칸에 표시된 범위 안에 들어가면 마커를 그 칸으로 이동시킨다.<br><br><color=white>우주 경쟁</color> 트랙을 전진하면 <color=white>승점</color>, 특수 능력, 또는 둘 다를 얻는다. 특정 <color=white>우주 경쟁</color> 칸에 먼저 도달한 플레이어는 왼쪽 수의 <color=white>승점</color>을 받고, 두 번째로 도달한 플레이어는 오른쪽 수의 <color=white>승점</color>을 받는다. 특수 능력은 특정 우주 경쟁 칸에 먼저 도달한 플레이어에게 부여되며, 두 번째 플레이어가 그 칸에 도달하는 즉시 사라진다.
The <color=white>Victory Track</color> shows the ebb and flow of scoring over the course of the game. The first superpower to achieve a net positive twenty (20) Victory Point scores the victory. The game starts at zero (0) Victory points per superpower, and when a player scores a victory point it is added to the <color=white>Victory Track</color>. Victory Points added to the track either increase the player's Victory Point total, or reduce the opponent's total by the same ammount.<br><br>In addition to the <color=white>Victory Point Track</color> a player may achieve victory by <color=white>Controlling</color> Europe when it is scored. Additionally, a player will win instantly if their opponent causes the DEFCON level to reach 1, triggering nuclear war. If neither side has achieved victory of any kind by the end of turn 10, every Region except Southeast Asia is then scored. All Regions are calculated before final Victory Points are applied. The player that has accrued the most <color=white>Victory Points</color> is declared the winner. If a player <color=white>Controls</color> Europe at this time then they win regardless of the Victory Points. If the net score is a Zero (0), the game is declared a draw.<br><br><br>	<color=white>승점 트랙</color>은 게임 전체에 걸친 점수 흐름을 보여준다. 순승점 20을 먼저 달성한 초강대국이 승리한다. 게임은 양측 모두 승점 0에서 시작하며, 플레이어가 승점을 얻으면 그 수치가 <color=white>승점 트랙</color>에 반영된다. 트랙에 더해진 승점은 자신의 총점을 올리거나 같은 수치만큼 상대 점수를 낮춘다.<br><br><color=white>승점 트랙</color> 외에도, 플레이어는 유럽이 점수 계산될 때 유럽을 <color=white>지배</color>하면 승리할 수 있다. 또한 상대가 데프콘을 1로 떨어뜨려 핵전쟁을 일으키면 즉시 승리한다. 10턴 종료 시까지 어느 쪽도 승리하지 못했다면 동남아시아를 제외한 모든 지역을 점수 계산한다. 모든 지역 점수를 계산한 뒤 최종 승점을 적용한다. 가장 많은 <color=white>승점</color>을 가진 플레이어가 승리한다. 이때 한 플레이어가 유럽을 <color=white>지배</color>하고 있다면 승점과 관계없이 그 플레이어가 승리한다. 순점수가 0이면 무승부다.<br><br><br>
The China Card	중국 카드
The DEFCON Track	데프콘 트랙
The DEFCON status measures nuclear tension in the game. It can go down or up due to events and actions by the players, but if at any point it decreases to 1, the game ends immediately. The player responsible for the status marker moving to DEFCON 1 loses the game. Any <color=white>Coup</color> attempt in a <color=white>Battleground</color> country degrades the DEFCON status one level. The consequences of the DEFCON status level will affect a player's ability to perform <color=white>Coup</color> or <color=white>Realignment</color> rolls in specific regions. At the beginning of any turn in which the DEFCON status is lower than 5, the DEFCON status will improve by 1.	데프콘 상태는 게임 내 핵 긴장을 나타낸다. 이벤트와 플레이어의 행동으로 오르내릴 수 있지만, 어느 시점이든 1로 내려가면 게임은 즉시 끝난다. 데프콘 마커를 1로 떨어뜨린 책임이 있는 플레이어가 패배한다. <color=white>격전지</color>에서의 모든 <color=white>쿠데타</color> 시도는 데프콘을 한 단계 낮춘다. 데프콘 단계의 결과는 특정 지역에서 <color=white>쿠데타</color>나 <color=white>재편성</color> 굴림을 할 수 있는지에 영향을 준다. 데프콘이 5보다 낮은 턴이 시작되면 데프콘은 1 단계 개선된다.
The Iron Lady	철의 여인
The Late War scenario begins at Turn 8, with the DEFCON level set to 4. For the Space Race track, the USSR player's marker is set to <i>Man in Earth Orbit</i>, and the US player's marker is set to <i>The Eagle has Landed</i>.<br><br>The following events are in play at the start of the scenario:	후기 전쟁 시나리오는 8턴부터 시작하며 데프콘 단계는 4로 설정된다. 우주 경쟁 트랙에서는 소련 플레이어의 마커가 <i>지구 궤도 유인 비행</i>에, 미국 플레이어의 마커가 <i>독수리는 착륙했다</i>에 놓인다.<br><br>시나리오 시작 시 다음 이벤트들이 적용 중이다:
The Soviet player must place <color=white>3 Influence Points</color> on the Chinese Civil War space to <color=white>Control</color> it. Soviet <color=white>Influence</color> is placed in the Chinese Civil War space according to the rules for placing Influence in countries. If the <color=white>China Card</color> remains unclaimed throughout the game, no player receives the <color=white>Victory Point</color> for possession of the China Card during end game scoring.<br><br>	소련 플레이어는 중국 내전 공간을 <color=white>지배</color>하기 위해 그 공간에 <color=white>영향력 3</color>을 놓아야 한다. 소련의 <color=white>영향력</color>은 일반 국가에 영향력을 놓는 규칙과 동일하게 중국 내전 공간에 배치된다. 게임 내내 <color=white>중국 카드</color>가 누구에게도 넘어가지 않았다면, 게임 종료 점수 계산에서 어떤 플레이어도 중국 카드 보유에 따른 <color=white>승점</color>을 얻지 못한다.<br><br>
The Turn Zero expansion is a way to freshen up your Twilight Struggle experience. It represents a series of variants on the end of World War II and its aftermath that could have resulted in a substantially different Cold War.<br><br><i><b>Warning:</b></i> due to the large number of new possibilities in the starting setup, game balance is not guaranteed with Turn Zero!<br><br>Turn Zero defaults to playing without the Chinese Civil War variant and the optional cards from the first Deluxe edition. If you wish to use the Chinese Civil War variant, select the Chinese Civil War Option on the Game Create screen.  The Chinese Civil War crisis card is removed before creating the crisis deck (see below), and each player has one Statecraft card discarded at random prior to resolving Crises. This discard is face down, so the players do not know which Statecraft card the opponent discarded.<br><br>	Turn Zero 확장은 Twilight Struggle 경험에 새로움을 더하는 방식이다. 이는 제2차 세계대전 종전과 그 여파가 훨씬 다른 냉전으로 이어졌을 수도 있다는 가정의 여러 변형 규칙을 담고 있다.<br><br><i><b>경고:</b></i> 시작 준비에서 새로운 경우의 수가 매우 많기 때문에 Turn Zero에서는 게임 밸런스가 보장되지 않는다!<br><br>Turn Zero는 기본적으로 중국 내전 변형 규칙과 첫 번째 디럭스 에디션의 선택 카드를 사용하지 않는다. 중국 내전 변형 규칙을 사용하려면 게임 생성 화면에서 중국 내전 옵션을 선택하라. 중국 내전 위기 카드는 위기 덱을 만들기 전에 제거되며(아래 설명 참조), 각 플레이어는 위기를 해결하기 전에 국정 카드 1장을 무작위로 버린다. 이 버림은 뒷면으로 처리되므로 상대가 어떤 국정 카드를 버렸는지 알 수 없다.<br><br>
The US must have 20+ Victory Points in order to win the game after Final Scoring. Otherwise, the USSR player wins. (The US cannot win by playing WARGAMES for the event.) All other victory conditions remain the same as the Standard Game.<br><br>	최종 점수 계산 후 미국이 승리하려면 승점이 20 이상이어야 한다. 그렇지 않으면 소련 플레이어가 승리한다. (미국은 WARGAMES 이벤트를 플레이해서는 승리할 수 없다.) 그 외 모든 승리 조건은 표준 게임과 동일하다.<br><br>
The US player exposes all scoring cards in their hand. The USSR player may then add 1 Influence in any single region named on one of these scoring cards (USSR choice). Cannot be played as an event in Late War.	미국 플레이어는 손에 있는 모든 점수 카드를 공개한다. 그 후 소련 플레이어는 그 점수 카드들 중 하나에 적힌 지역 하나를 골라 그 지역에 영향력 1을 추가할 수 있다(소련 선택). 후기 전쟁에서는 이벤트로 플레이할 수 없다.
The US player exposes all scoring cards in their hand. The USSR player may then add 1 Influence in any single region named on one of these scoring cards (USSR choice).<br><br><i>Cannot be played as an event in Late War.</i>	미국 플레이어는 손에 있는 모든 점수 카드를 공개한다. 그 후 소련 플레이어는 그 점수 카드들 중 하나에 적힌 지역 하나를 골라 그 지역에 영향력 1을 추가할 수 있다(소련 선택). 후기 전쟁에서는 이벤트로 플레이할 수 없다.
The US player may designate one Region. For the remainder of the turn the USSR may not add additional Influence to that Region by the play of Operations Points via placing Influence.	미국 플레이어는 지역 1개를 지정할 수 있습니다. 이번 턴의 남은 동안 소련은 영향력 배치를 위한 작전치 사용으로는 그 지역에 추가 영향력을 넣을 수 없습니다.
The Voice of America	미국의 소리
The map is divided into six Regions: Europe, Asia, Central America, South America, Africa, and the Middle East. Europe is divided into two sub-regions, Eastern and Western Europe. Asia also contains a sub-region, Southeast Asia. The country spaces that comprise a region share a map color, and sub-regions have shades of the same color.	지도는 유럽, 아시아, 중앙아메리카, 남아메리카, 아프리카, 중동의 여섯 지역으로 나뉜다. 유럽은 동유럽과 서유럽의 두 하위 지역으로 나뉜다. 아시아에도 동남아시아라는 하위 지역이 있다. 한 지역을 구성하는 국가 칸들은 같은 지도 색을 공유하며, 하위 지역은 그 색의 다른 음영으로 표시된다.
The object of the game is to score <color=white>Victory Points</color> through geographic influence over the six Regions. Each Region has its own "Scoring Card". Playing a Scoring Card causes <color=white>Victory Points</color> to be scored on how much influence each superpower has in that region at the time the card is played. The <color=white>Victory Points</color> are totaled for both players, and the net difference is marked on the <color=white>Victory Point Track</color>. A player may not hold a Scoring Card in their hand at the end of theirturn, as doing so results in automatically losing the game. A player may not be forced to hold a <color=white>Scoring Card</color> through the effects of a game event.<br><br>Scoring Card have the following scoring criteria:<br><br><color=white>> Presence:</color> A superpower has <color=white>Presence</color> in a Region if it Controls at least one (1) country in that Region.<br><br><color=white>> Domination:</color> A superpower has <color=white>Domination</color> in a Region if it <color=white>Controls</color> more countries than an opponent and it <color=white>Controls</color> more <color=white>Battleground</color> countries in that Region. A superpower must <color=white>Control</color> at least one (1) <color=white>non-Battleground</color> and one (1) <color=white>Battleground</color> country in that Region to achieve domination.<br><br><color=white>> Control:</color> A superpower has <color=white>Control</color> of a Region if it <color=white>Controls</color> more countries in that Region than its opponent, and <color=white>Controls</color> all of the <color=white>Battleground</color> countries in that Region.<br><br><color=white>> Additional Scoring:</color> A +1 VP is granted per country that is under Control and adjacent to the enemy superpower.<br><br><color=white>> Additional Scoring:</color> A +1 VP is granted per <color=white>Battleground</color> Country that is under a player's <color=white>Control</color> in the scoring region.	게임의 목적은 여섯 지역에 대한 지정학적 영향력을 통해 <color=white>승점</color>을 얻는 것이다. 각 지역에는 고유한 "점수 카드"가 있다. 점수 카드를 플레이하면 그 시점에 각 초강대국이 그 지역에 얼마나 영향력을 가지고 있는지에 따라 <color=white>승점</color>을 계산한다. 양 플레이어의 <color=white>승점</color>을 합산하고, 순차이를 <color=white>승점 트랙</color>에 표시한다. 플레이어는 턴 종료 시 손에 점수 카드를 들고 있어서는 안 되며, 그렇게 하면 자동 패배한다. 게임 이벤트 효과로 인해 <color=white>점수 카드</color>를 강제로 보유하게 될 수도 없다.<br><br>점수 카드는 다음 기준으로 점수 계산한다:<br><br><color=white>> 진출:</color> 초강대국이 해당 지역의 국가를 하나 이상 지배하면 그 지역에 <color=white>진출</color>한 것이다.<br><br><color=white>> 지배:</color> 초강대국이 상대보다 더 많은 국가를 <color=white>지배</color>하고, 그 지역에서 상대보다 더 많은 <color=white>격전지</color>을 <color=white>지배</color>하면 그 지역을 <color=white>지배</color>한 것이다. 지배를 달성하려면 그 지역에서 최소 하나의 <color=white>비격전지</color>과 하나의 <color=white>격전지</color>을 지배해야 한다.<br><br><color=white>> 장악:</color> 초강대국이 상대보다 더 많은 국가를 <color=white>지배</color>하고, 그 지역의 모든 <color=white>격전지</color>을 지배하면 그 지역을 <color=white>장악</color>한 것이다.<br><br><color=white>> 추가 점수:</color> 적 초강대국에 인접한 지배 국가마다 +1 승점을 얻는다.<br><br><color=white>> 추가 점수:</color> 점수 계산 지역에서 플레이어가 <color=white>지배</color>하는 <color=white>격전지</color>마다 +1 승점을 얻는다.
The phasing player always decides whether the event is to take place before or after the Operations are conducted. If a card play triggers an opponent’s <color=white>Event</color>, but that <color=white>Event</color> cannot occur because a prerequisite has not been met, the Event does not occur.	차례 플레이어는 항상 이벤트를 작전 수행 전후 중 언제 해결할지 결정한다. 카드 플레이로 상대의 <color=white>이벤트</color>가 발동되더라도, 선행 조건이 충족되지 않아 그 <color=white>이벤트</color>가 일어날 수 없다면 이벤트는 발생하지 않는다.
Tories returned to power; Churchill and Eden dominate. Move Socialist Governments to the Mid War deck; Suez Crisis event has no effect (permanently).	보수당이 다시 집권하고 처칠과 이든이 정국을 장악한다. 사회주의 정부 카드를 중기 전쟁 덱으로 옮기고, 수에즈 위기 이벤트는 영구히 효과가 없어진다.
Tunisia	튀니지
Turn	턴
Turn Zero consists six Crisis cards, ten Statecraft cards, and two modified event cards (Europe Scoring and Nationalist China) The Statecraft cards are divided between the players—each will get the three that are marked with their superpower’s flag.	Turn Zero는 여섯 장의 위기 카드, 열 장의 국정 카드, 그리고 수정된 이벤트 카드 두 장(유럽 점수 계산, 국민당 중국)으로 구성된다. 국정 카드는 양 플레이어에게 나뉘며, 각자 자기 초강대국 깃발이 표시된 세 장을 받는다.
Turn Zero consists six Crisis cards, ten Statecraft cards, and two modified event cards (Europe Scoring and Nationalist China) The Statecraft cards are divided between the players—each will get the three that are marked with their superpower’s flag.<br><br>	Turn Zero는 여섯 장의 위기 카드, 열 장의 국정 카드, 그리고 수정된 이벤트 카드 두 장(유럽 점수 계산, 국민당 중국)으로 구성된다. 국정 카드는 양 플레이어에게 나뉘며, 각자 자기 초강대국 깃발이 표시된 세 장을 받는다.
Twilight Struggle has ten turns, and each turn will involve six or seven card plays by each player. At the beginning of the game, each player receives eight cards from the <color=white>Early War</color> deck. At the beginning of Turn 4, the <color=white>Mid War</color> deck is shuffled into the draw pile and the player’s hand size is increased to nine. At the beginning of Turn 8, the <color=white>Late War</color> deck is shuffled into the draw pile. When there are no cards remaining in the draw deck, the game reshuffles all discarded cards to form a new draw deck. The game will deal all cards remaining in the draw deck before reshuffling, except in Turns 4 and 8.	Twilight Struggle는 10턴으로 진행되며, 각 턴마다 각 플레이어는 카드 6장 또는 7장을 플레이한다. 게임 시작 시 각 플레이어는 <color=white>초기 전쟁</color> 덱에서 카드 8장을 받는다. 4턴이 시작되면 <color=white>중기 전쟁</color> 덱이 뽑기 더미에 섞이고 손패 한도는 9장으로 증가한다. 8턴이 시작되면 <color=white>후기 전쟁</color> 덱이 뽑기 더미에 섞인다. 뽑기 덱에 카드가 남지 않으면 버린 카드를 모두 다시 섞어 새 뽑기 덱을 만든다. 단, 4턴과 8턴에는 재섞기 전에 남은 카드를 먼저 모두 배분하지 않는다.
US Coup attempts in Battleground Countries do not affect the DEFCON track for the remainder of the turn (does not affect <i>Cuban Missle Crisis</i>).	미국의 격전지 대상 쿠데타 시도는 이번 턴 남은 동안 데프콘 트랙에 영향을 주지 않는다(<i>쿠바 미사일 위기</i>에는 적용되지 않음).
US Influence	미국 영향력
US Player reveals their hand. Then the USSR may Conduct Operations as if they played a 1 Op card.	미국 플레이어가 손패를 공개한다. 그 후 소련은 작전치 1 카드처럼 작전을 수행할 수 있다.
US Presence	미국 진출
US gains 1 VP for each US<br>controlled Battleground country<br>in Central America and<br>South America.	미국은 중앙아메리카와 남아메리카에서 자신이 지배하는 격전지마다 1 승점을 얻는다.
US gains 1 VP for every 2 USSR Influence in Libya.	미국은 리비아의 소련 영향력 2개마다 1 승점을 얻습니다.
US gains 1 VP.<br><br>US receives 1 Influence in Israel,   Jordan and Egypt.<br><br><i>'Arab-Israeli War' event no longer playable.</i>	미국이 1 승점을 얻는다.<br><br>미국은 이스라엘, 요르단, 이집트에 영향력 1씩을 받는다.<br><br><i>'아랍-이스라엘 전쟁' 이벤트는 더 이상 플레이할 수 없다.</i>
US gains 1 VP.<br><br>US receives 1 Influence in Israel, Jordan and Egypt.<br><br><i>'Arab-Israeli War' event no longer playable.</i>	미국이 1 승점을 얻는다.<br><br>미국은 이스라엘, 요르단, 이집트에 영향력 1씩을 받는다.<br><br><i>'아랍-이스라엘 전쟁' 이벤트는 더 이상 플레이할 수 없다.</i>
US gains 1 VP.<br>Add 1 USSR Influence in Argentina. Remove all USSR Influence from UK.<br><i> Socialist Governments</i> event no      longer playable.	미국이 1 승점을 얻는다.<br>아르헨티나에 소련 영향력 1을 추가하고 영국의 소련 영향력을 모두 제거한다.<br><i>사회주의 정부</i> 이벤트는 더 이상 플레이할 수 없다.
US gains 1 VP.<br>Add 1 USSR Influence in Argentina. Remove all USSR Influence from UK.<br><i> Socialist Governments</i> event no longer playable.	미국이 1 승점을 얻는다.<br>아르헨티나에 소련 영향력 1을 추가하고 영국의 소련 영향력을 모두 제거한다.<br><i>사회주의 정부</i> 이벤트는 더 이상 플레이할 수 없다.
US gains sufficient Influence in Japan<br>for Control.<br><br>USSR may no longer make Coup or<br>Realignment rolls in Japan.	미국은 일본을 지배하기에 충분한 영향력을 얻는다.<br>소련은 더 이상 일본에서 쿠데타나 재편성을 할 수 없다.
US gains sufficient Influence in<br>Japan for Control.<br>USSR may no longer make Coup or Realignment rolls in Japan.	미국은 일본을 지배하기에 충분한 영향력을 얻는다.<br>소련은 더 이상 일본에서 쿠데타나 재편성을 할 수 없다.
US may add 1 Influence in three countries that currently contain no Influence from either power.	미국은 현재 어느 강대국의 영향력도 없는 세 국가에 영향력 1씩을 추가할 수 있습니다.
US places 3 Influence in Asia, no more than 1 per country.	미국은 아시아에 영향력 3을 배치합니다. 한 국가에는 최대 1만 놓을 수 있습니다.
US player exposes his hand to USSR player for remainder of turn. USSR then chooses one card from US hand; this card is discarded.	이번 턴 남은 동안 미국 플레이어는 손패를 소련 플레이어에게 공개한다. 이후 소련은 미국 손패에서 카드 1장을 선택하고, 그 카드는 버려진다.
US player exposes his hand to USSR player for remainder of turn.<br><br>USSR then chooses one card from US hand; this card is discarded.	이번 턴 남은 동안 미국 플레이어는 손패를 소련 플레이어에게 공개한다. 이후 소련은 미국 손패에서 카드 1장을 선택하고, 그 카드는 버려진다.
US player may discard up to entire hand (including Scoring cards) and draw replacements from the deck.<br>The number of cards discarded must be decided prior to drawing any replacements.	미국 플레이어는 손패 전체(점수 카드 포함)까지 버리고 덱에서 새로 뽑을 수 있다.<br>버릴 카드 수는 새 카드를 뽑기 전에 미리 결정해야 한다.
US player may discard up to entire hand (including Scoring cards) and draw replacements from the deck.<br>The number of cards discarded must<br>be decided prior to drawing any replacements.	미국 플레이어는 손패 전체(점수 카드 포함)까지 버리고 덱에서 새로 뽑을 수 있다.<br>버릴 카드 수는 새 카드를 뽑기 전에 미리 결정해야 한다.
US receives 2 Influence in Saudi Arabia. Muslim Revolution may no longer be played as an event.	미국이 사우디아라비아에 영향력 2를 얻습니다. "이슬람 혁명"은 더 이상 이벤트로 플레이할 수 없습니다.
USA / USSR Influenced	미국 / 소련 영향력
USSR	소련
USSR Headlines COMECON*	소련이 COMECON을 헤드라인으로 사용*
USSR Influence	소련 영향력
USSR LEADS	소련 우세
USSR MilOPS Completed	소련 군사 작전 완료
USSR either adds 2 Influence in South Africa or adds 1 Influence in South Africa and 2 Influence in any countries adjacent to South Africa.	소련은 남아프리카에 영향력 2를 추가하거나, 남아프리카에 영향력 1과 남아프리카에 인접한 국가들에 영향력 총 2를 추가합니다.
USSR gains 1 VP for each of the following countries they control:<br><br>Egypt, Iran, Libya, Saudi Arabia, Iraq, Gulf States, and Venezuela.<br><br><font="TIMESI SDF>Unplayable as an event if 'North Sea Oil' is in effect.	소련은 다음 국가 중 자신이 지배하는 국가마다 1 승점을 얻는다:<br><br>이집트, 이란, 리비아, 사우디아라비아, 이라크, 걸프 산유국, 베네수엘라.<br><br><font="TIMESI SDF">'북해 석유'가 발동 중이면 이벤트로 플레이할 수 없다.
USSR gains 1 VP for each of the following countries they control:<br><br>Egypt, Iran, Libya, Saudi Arabia, Iraq, Gulf States, and Venezuela.<br><br><i>Unplayable as an event if 'North Sea Oil' is in effect.	소련은 다음 국가 중 자신이 지배하는 국가마다 1 승점을 얻는다:<br><br>이집트, 이란, 리비아, 사우디아라비아, 이라크, 걸프 산유국, 베네수엘라.<br><br><font="TIMESI SDF">'북해 석유'가 발동 중이면 이벤트로 플레이할 수 없다.
USSR gains 1 VP.<br><br>If <font="TIMESI SDF>UN Intervention</font> played later this turn as an Event, either by US or USSR, gain an additional 1 VP.	소련이 1 승점을 얻는다.<br><br>이 턴 후반에 미국 또는 소련이 <font="TIMESI SDF">UN Intervention</font>을 이벤트로 플레이하면 추가로 1 승점을 얻는다.
USSR gains 1 VP.<br><br>If <i>UN Intervention</i> played later this turn as an Event, either by US or USSR, gain an additional 1 VP.	소련이 1 승점을 얻는다.<br><br>이 턴 후반에 미국 또는 소련이 <font="TIMESI SDF">UN Intervention</font>을 이벤트로 플레이하면 추가로 1 승점을 얻는다.
USSR gains 1 VP.<br>Remove 1 US Influence from up to three countries in Western Europe.	소련이 1 승점을 얻는다.<br>서유럽 최대 세 국가에서 미국 영향력 1씩 제거한다.
USSR gains 1 VP.<br>USSR receives 1 Influence in West Germany.<br>Cancels NATO for West Germany.<br><i>This event is unplayable and/or canceled by 'Tear Down This Wall.'	소련이 1 승점을 얻는다.<br>서독에 소련 영향력 1을 받는다.<br>서독에 대한 NATO를 취소한다.<br><i>이 이벤트는 '이 장벽을 허물어라'에 의해 사용할 수 없거나 취소된다.</i>
USSR gains 2 VP for every subsequently US played "war card" (played as an event or Operations) unless played on the space race. War Cards: <i>Arab-Israeli War, Korean War, Brush War, Indo-Pakistani War or Iran-Iraq War.<br><br>This event canceled by 'An Evil Empire'.	이후 미국이 플레이하는 모든 \\"전쟁 카드\\"마다 소련은 2 승점을 얻는다(우주 경쟁에 사용한 경우 제외). 전쟁 카드: <i>아랍-이스라엘 전쟁, 한국 전쟁, 소규모 전쟁, 인도-파키스탄 전쟁, 이란-이라크 전쟁</i>.<br><br>이 이벤트는 '악의 제국'에 의해 취소된다.
USSR gains 2 VP for every subsequently US played "war card" (played as an event or Operations) unless played on the space race.<br><br>War Cards: <i>Arab-Israeli War, Korean War, Brush War, Indo-Pakistani War or Iran-Iraq War.<br><br>This event canceled by 'An Evil Empire'.	이후 미국이 플레이하는 모든 \\"전쟁 카드\\"마다 소련은 2 승점을 얻는다(우주 경쟁에 사용한 경우 제외). 전쟁 카드: <i>아랍-이스라엘 전쟁, 한국 전쟁, 소규모 전쟁, 인도-파키스탄 전쟁, 이란-이라크 전쟁</i>.<br><br>이 이벤트는 '악의 제국'에 의해 취소된다.
USSR gains 2 VP.<br>Improve DEFCON one level.<br>If <font="TIMESI SDF">The Reformer</font> is in effect, then the USSR may place Influence or attempt Realignments as if they played a 4 Ops card.	소련이 2 승점을 얻는다.<br>데프콘을 1단계 올린다.<br><font=\\"TIMESI SDF\\">개혁가</font>가 발동 중이라면 소련은 작전치 4 카드처럼 영향력 배치 또는 재편성을 수행할 수 있다.
USSR gains 2 VP.<br>Improve DEFCON one level.<br>If <i>The Reformer</i> is in effect, then the USSR may place Influence or attempt Realignments as if they played a 4 Ops card.	소련이 2 승점을 얻는다.<br>데프콘을 1단계 올린다.<br><font=\\"TIMESI SDF\\">개혁가</font>가 발동 중이라면 소련은 작전치 4 카드처럼 영향력 배치 또는 재편성을 수행할 수 있다.
USSR may immediately make a Coup attempt using this card's Operations value against a non-battleground country in Central America, South America, or Africa.<br>If the Coup removes any US Influence, USSR may make a second Coup attempt against a different target under the same restrictions.	소련은 즉시 이 카드의 작전치으로 중앙아메리카
USSR may relocate up to 4 Influence points to non-US controlled countries.<br><br>No more than 2 influence may be placed in the same country.	소련은 최대 4 영향력을 미국 비지배 국가들로 재배치할 수 있다.<br><br>한 국가에는 최대 2까지만 둘 수 있다.
USSR player must randomly discard one card. If the card is a US associated Event, the Event occurs immediately. If the card is a USSR associated Event or an Event applicable to both players, then the card must be discarded without triggering the Event.	소련 플레이어는 무작위로 카드 1장을 버려야 한다. 그 카드가 미국 관련 이벤트라면 즉시 발동한다. 소련 관련 이벤트이거나 양측 공통 이벤트라면 이벤트를 발동하지 않고 그냥 버린다.
USSR player must randomly discard one card. If the card is a US associated Event, the Event occurs immediately.<br><br>If the card is a USSR associated Event or an Event applicable to both players, then the card must be discarded without triggering the Event.	소련 플레이어는 무작위로 카드 1장을 버려야 한다. 그 카드가 미국 관련 이벤트라면 즉시 발동한다. 소련 관련 이벤트이거나 양측 공통 이벤트라면 이벤트를 발동하지 않고 그냥 버린다.
USSR receives 1 VP for each US coup attempt made for the remainder of the current turn.	이번 턴의 남은 동안 미국이 쿠데타를 시도할 때마다 소련은 1 승점를 얻습니다.
USSR receives 2 Influence in Chile.	칠레에 소련 영향력 2를 추가합니다.
USSR reveals hand this turn.<br><br>Then the US may Conduct<br>Operations as if they played a<br>1 Op card.	이번 턴 동안 소련은 손패를 공개한다.<br><br>그 후 미국은 작전치 1 카드처럼 작전을 수행할 수 있다.
